time_step,sector_id,row,col,x,y,true_status,label,treatment_timer,wind_speed,wind_direction,humidity,season_multiplier,neighbors
1,59,5,9,9.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"48,49,58,68,69"
1,60,6,0,0.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"50,51,61,70,71"
1,61,6,1,1.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"50,51,52,60,62,70,71,72"
1,62,6,2,2.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"51,52,53,61,63,71,72,73"
1,63,6,3,3.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"52,53,54,62,64,72,73,74"
1,64,6,4,4.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"53,54,55,63,65,73,74,75"
1,65,6,5,5.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"54,55,56,64,66,74,75,76"
1,66,6,6,6.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"55,56,57,65,67,75,76,77"
1,67,6,7,7.0,6.0,1,infected,7,7.28,43.91,60.39,0.822,"56,57,58,66,68,76,77,78"
1,68,6,8,8.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"57,58,59,67,69,77,78,79"
1,69,6,9,9.0,6.0,0,healthy,0,7.28,43.91,60.39,0.822,"58,59,68,78,79"
1,70,7,0,0.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"60,61,71,80,81"
1,71,7,1,1.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"60,61,62,70,72,80,81,82"
1,72,7,2,2.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"61,62,63,71,73,81,82,83"
1,73,7,3,3.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"62,63,64,72,74,82,83,84"
1,74,7,4,4.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"63,64,65,73,75,83,84,85"
1,75,7,5,5.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"64,65,66,74,76,84,85,86"
1,76,7,6,6.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"65,66,67,75,77,85,86,87"
1,77,7,7,7.0,7.0,1,infected,6,7.28,43.91,60.39,0.822,"66,67,68,76,78,86,87,88"
1,78,7,8,8.0,7.0,1,infected,7,7.28,43.91,60.39,0.822,"67,68,69,77,79,87,88,89"
1,79,7,9,9.0,7.0,0,healthy,0,7.28,43.91,60.39,0.822,"68,69,78,88,89"
1,80,8,0,0.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"70,71,81,90,91"
1,81,8,1,1.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"70,71,72,80,82,90,91,92"
1,82,8,2,2.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"71,72,73,81,83,91,92,93"
1,83,8,3,3.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"72,73,74,82,84,92,93,94"
1,84,8,4,4.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"73,74,75,83,85,93,94,95"
1,85,8,5,5.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"74,75,76,84,86,94,95,96"
1,86,8,6,6.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"75,76,77,85,87,95,96,97"
1,87,8,7,7.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"76,77,78,86,88,96,97,98"
1,88,8,8,8.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"77,78,79,87,89,97,98,99"
1,89,8,9,9.0,8.0,0,healthy,0,7.28,43.91,60.39,0.822,"78,79,88,98,99"
1,90,9,0,0.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"80,81,91"
1,91,9,1,1.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"80,81,82,90,92"
1,92,9,2,2.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"81,82,83,91,93"
1,93,9,3,3.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"82,83,84,92,94"
1,94,9,4,4.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"83,84,85,93,95"
1,95,9,5,5.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"84,85,86,94,96"
1,96,9,6,6.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"85,86,87,95,97"
1,97,9,7,7.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"86,87,88,96,98"
1,98,9,8,8.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"87,88,89,97,99"
